,SPY,Adj Close,SMA,STD,UBB,LBB,Change,Gain,Loss,Avg Gain,Avg Loss,RS,RSI,26EMA,12EMA,MACD
2008-01-02,132.15,96.14,,,,,,0.0,-0.0,,,,,96.14,96.14,0.0
2008-01-03,132.09,96.34,,,,,0.20000000000000284,0.20000000000000284,-0.0,,,,,96.24384615384615,96.24833333333333,-0.004487179487185244
2008-01-04,128.85,92.87,,,,,-3.469999999999999,0.0,3.469999999999999,,,,,95.03165598817152,94.92976905311778,0.10188693505374147
2008-01-07,128.74,91.88,,,,,-0.9900000000000091,0.0,0.9900000000000091,,,,,94.15059069992047,93.9670761494253,0.1835145504951754
2008-01-08,126.66,89.62,,,,,-2.259999999999991,0.0,2.259999999999991,,,,,93.0999280297394,92.78599109597513,0.3139369337642677
2008-01-09,127.99,90.28,,,,,0.6599999999999966,0.6599999999999966,-0.0,,,,,92.53511893632172,92.17690341995151,0.3582155163702083
2008-01-10,128.83,91.76,,,,,1.480000000000004,1.480000000000004,-0.0,,,,,92.39726805160696,92.08387288042309,0.3133951711838705
2008-01-11,127.79,89.7,,,,,-2.0600000000000023,0.0,2.0600000000000023,,,,,91.96267133470663,91.5863953531645,0.37627598154212194
2008-01-14,128.82,94.53,,,,,4.829999999999998,4.829999999999998,-0.0,,,,,92.34320580330764,92.1687451239525,0.17446067935513554
2008-01-15,125.99,93.52,,,,,-1.0100000000000051,0.0,1.0100000000000051,,,,,92.50559194908055,92.42480739780586,0.08078455127468942
2008-01-16,124.9,93.33,,,,,-0.18999999999999773,0.0,0.18999999999999773,,,,,92.61251793445766,92.59043581827217,0.022082116185487166
2008-01-17,121.67,92.85,,,,,-0.480000000000004,0.0,0.480000000000004,,,,,92.64169634807469,92.63658547767062,0.005110870404067214
2008-01-18,120.42,94.96,,,,,2.1099999999999994,2.1099999999999994,-0.0,,,,,92.91328520273707,93.04001850406355,-0.12673330132648175
2008-01-22,119.19,92.96,92.91,2.148512902522974,97.20702580504594,88.61297419495405,-2.0,0.0,2.0,0.6628571428571429,0.8900000000000006,0.744783306581059,42.686292548298056,92.9185318304116,93.02639390766899,-0.10786207725739416
2008-01-23,122.06,97.44,93.00285714285714,2.3200909417568045,97.64303902637074,88.36267525934353,4.480000000000004,4.480000000000004,-0.0,0.9828571428571432,0.8900000000000006,1.104333868378812,52.479023646071695,93.40764393105577,93.76574848643392,-0.3581045553781479
2008-01-24,123.09,98.18,93.13428571428572,2.5630682162827205,98.26042214685117,88.00814928172028,0.7400000000000091,0.7400000000000091,-0.0,1.0214285714285722,0.8900000000000006,1.1476725521669344,53.437967115097166,93.90687157983663,94.4952383534591,-0.588366773622468
2008-01-25,121.31,95.99,93.35714285714286,2.6716616223196814,98.70046610178223,88.0138196125035,-2.190000000000012,0.0,2.190000000000012,1.0214285714285722,0.79857142857143,1.2790697674418592,56.12244897959181,94.11832730617118,94.73947236827325,-0.6211450621020731
